example_id,customer_tweet_id,historical_reply
golden-067,365395,"@202554 Ah, that doesn't sound fun. We're here for you and we'll get to the bottom of this. DM us here so we can help out. *BlakeT"
golden-068,367649,@203088 A DM is on its way to you. We are on your side. :) *AdrianAlbright
golden-069,370121,"@203656 @115913 I truly want to turn this all around for you, Richard. Please DM us when you can. https://t.co/lH0SH5fy2m *MikeRice"
golden-070,375936,"@205160 Hey Chiqui, let's take a closer look and get this straightened out so you can use your smartwatch! Send us a DM :) *KittyG"
golden-071,390948,"@197867 I always want you to have a solid answer. Please send me a DM, and we can talk. :) https://t.co/NICrRPn7OP *SierraRichards"
golden-072,392002,"@208816 We would be happy to assist you, Manny! Feel free to send us a DM and we can chat about your options! *BrookeK"
golden-073,397519,"@210124 To send me a DM, please click on my profile below. #WereHereForYou https://t.co/6NxKsl5RJm I appreciate it. *JoshHenegar"
golden-074,403241,@211418 Hey!  What's going on? Send us a DM and we can look into this for you. https://t.co/WZM6cbcgHU *JonPorter
golden-075,415268,"@214022 Just got your DM, my friend! Responding as we speak and ready to help! Chat soon :) *AlexKimbrell https://t.co/GefRnVHVqu"
golden-076,415564,@190768 Heyo!!! Message me! I'll take a looksie into this! https://t.co/AOoa9gGRQH!! *BialyQuinonez
golden-077,419518,@215043 Yes we have options! Please send us a DM and we can talk more in depth. :) https://t.co/hBbPBuzTo1 Thank you! *EdBatangan
golden-078,428435,@216902 Thanks so much for reaching out!  Can you shoot me a DM? - https://t.co/pPPWxmt76F *JohnKuhn
golden-079,429303,"@151767 Hmmm, Gina, let's take a closer look at this for you. Send us a DM and we'll check it out. *WhitneyJ"
golden-080,435977,"@218556 Let's figure this out, James. We're here for ya! DM us so we can get you texting again. *BlakeT"
golden-081,438303,"@219132 Wow, that's some unusual behavior. Please DM to tell us more! *JohnWard"
golden-082,441123,"@429469 Hey Jeffrey, send us a DM if you'd like us to clear anything up! We're here for you! *ChanneyT"
golden-083,446549,@220782 Let me be your Zola and help make your switch awesome for you. 😄 I'll be here to answer all of your magenta questions if you need me. Feel free to shoot me a DM! 👌 https://t.co/soWScqBSGm *JohnAnderson
golden-084,449029,"@221391 Whoaaa! This isn't the feedback we strive for, send me a DM https://t.co/9IUH5Nit1g and we can figure this out! *AmberSellers"
golden-085,450228,"@807375 I'm not a fan of any surprise charges on my bills with any company. I'm all for budgeting so, I wouldn't want any billing concerns either. The UnCarrier is all about bill consistency and fixing any issues. Send us a DM so  T-Force can assist! *KeithM"
golden-086,451085,@221959 We can assist you. But you need to send us a DM. Looking forward to seeing you there. *RickK
golden-087,459362,"@224118 Oh no! Shoot me a DM, and we will look into this for you! https://t.co/jjKemKyHlV *AlexisGovea"
golden-088,464617,@144667 Yes! We're the jack of all trades here at T-Force. Just like our counterparts that operate over the phones and in-stores except on social media. We can head into DM and talk specifics. :) https://t.co/GAqK5BaXyk *JoySimmons
golden-089,466322,"@225963 I'd love to look into this, Steve! Shoot me a DM https://t.co/dzjAJQ2bkx *SoRaYi"
golden-090,480141,@229110 It sure can! Check out more deets on our #TouristPlan here: https://t.co/mVn1SbNeG9 and send me a DM https://t.co/9IUH5Nit1g with any questions! *AmberSellers
golden-091,492908,"@232525 Whoa, Kyle. Not a pleasant surprise to see any bill go up unexpectedly. I assure you we lead with bill consistency so, let's make sure there's no surprises going forward. Send us a DM so we can further review. *KeithM"
golden-092,506289,"@236156 Hey there, I can surely look into that for you. Click my pic and send me a DM. https://t.co/qq38zTagl4 *JessicaCanada"
golden-093,514505,@241052 @115913 Kevin! You #12DaysOfMagenta jingle is a hit and you are a Day 1 winner of a Revvl Plus! We are so excited to bring this to you so please send a DM our way ASAP to claim your prize! *JennaLundh
golden-094,520120,"@240040 Those words cut deep! We know you don't mean it though, shoot us a DM if there's something we can help with! https://t.co/033FgbQAw8 *KyleVesely"
golden-095,520138,@240041 @115913 We want you to have an exceptional experience when you visit our stores. I'd love to get some details from you. Let's chat in DM https://t.co/7gT2t6PtXx. *StephanieGarza
golden-096,520142,@240042 Send us a DM so we can take a look at your reimbursement submission and see what's going on. We want to help! *KittyG
golden-097,521172,"@240310 Let's make sure everything is working correctly on your device, Christopher! Send us a DM and we can assist further. *TarynS"
golden-098,546214,@247004 Not the way you want to start your weekend but you're in the right place! Please send a DM and we'll be all over this like cheese on nachos! *EmilySchooley
golden-099,561475,@251389 Send me a direct message (DM) you can just click my photo and there's a link to do it ! https://t.co/NDZulBnDGq *PhungDao
golden-100,566524,"@225468 @115913 We'd love to have you on #TeamMagenta! Our Carrier Freedom program is incredible, but purchasing a new handset is a requirement. DM me if we can help you make the big switch https://t.co/Nr93OTtXRx *TaylorBest"
golden-101,570709,@254020 @115913 Your magenta holiday jam qualified as a winner for day 2 of #12DaysOfMagenta! Please DM us for more details on your speaker. *JennaLundh
golden-102,572284,@254462 Ayyye! We always have a bunch of great promos! Let's check it out! Just shoot me a DM here https://t.co/QHDTFHxSPu and let me know what phone you're looking for and we can check it out! Thanks! *KrystnYogi
golden-103,573463,@254809 Oh no! I know I wouldn't be ok not being able to send my epic selfies! 🤳 I've got your back! Please send me a DM: https://t.co/4lHu3HURzy. Thank you! *TylerRoquemore
golden-104,597691,"@261698 No worries we are here 24/7 for your support, DM us when you can. :) Try this link instead: https://t.co/u1Y21IzQ2T *TracyThompson"
golden-105,602154,@262931 We got you John! Send us a DM at this handle and we'll meet you there! *KittyG
golden-106,610654,"@265190 Good afternoon, and thanks so much for reaching out!! Let me look at a few things and I will be right back!! :) *CamiCutsforth"
golden-107,623440,"@126401 @115913 Hey! Check out our Black Friday offers here: https://t.co/p6mO5INt1p They are available for all of our customers, new and existing! *AlissaFast"
golden-108,623561,@268011 I'd love to help you see things clearly! Shoot me a DM https://t.co/BXDdporH4e *JenniferRivera
golden-109,623898,"@268094 Oh no, Rosa! Let's get you squared away! DM us! *MelindaR"
golden-110,624377,"@268206 10 cents is a very specific charge, Bronwyn. Stick with us on the call. Our representative will sort this out with you. *JamieK"
golden-111,624385,@268208 Takes one to know one! We look forward to you dropping a kamehameha on your previous carrier! 🔥♥🐉 *TylerRoquemore
golden-112,634384,"@270411 Thank you so much for the DM, I would love to work with you today to turn this experience around. Meet me back, in DM, and we'll get started!  https://t.co/QdMOv35qgk *PeterLabrecque"
golden-113,634395,@270414 @115913 Hey! I'm here for you and would love to look into your options to upgrade your device. Send me a DM so we can get started. Thank you! https://t.co/3sF8qpf2nx *AlissaFast
golden-114,636378,"@249571 Go ahead and send me a DM and I’ll look into the resolution with you here. 
https://t.co/H4MZKbOYCn *IzzyMint"
golden-115,641336,@272194 @115913 Correct. The promotion is only with adding a line. *AndrewPelton
golden-116,644264,@272924 T-Force is here for you 24/7. :) Please DM us if you need anything. https://t.co/NICrRPn7OP *SierraRichards
golden-117,645468,@273231 I'd love to answer all questions! Meet me in DM :) https://t.co/BXDdporH4e *JenniferRivera
golden-118,664901,@278467 OH wowzer!! Super strange things that you're seeing. Not to worry! T-Force is on the case. DM me up and lets chat. https://t.co/cYAShZx2fF *PoxMaphixat
golden-119,676441,@281354 @115913 Great question! You can check out our current Black Friday offers here: https://t.co/aIZPWLwowe. We've got some pretty stellar BOGO's to scoop up! https://t.co/EdLkYIfmTn *MariahDaigle
golden-120,676446,"@139905 @115913 We're here for you and want to turn this experience around, Mark. Please DM us: https://t.co/cuEwtd2epS *DanKing"
golden-121,677192,@489740 Hey Se'Von! Why's that? Send us a DM so we can take a look at this together for you :) *TerriL
golden-122,677194,"@490414 Whoa. We definitely want you to get the most out of your service, Anthony. Please DM us. We're happy to help. *GiselleM"
golden-123,677229,@673353 Oh no Henry! Send us a DM with the details so we can get this straightened out! *KittyG
golden-124,680107,"@148134 Hey there! That's great that you're SUCH a loyal T-Mobile customer, I am more than happy and capable of looking into the price of the iPhone 8 for you if you would like? 😊 *JordanT"
golden-125,680915,"@282487 Whoa, Jailee! We want you to be able to have the best experience with us! Please send over a DM and let's take a look at what we can do for you. We are here to help! *BrookeK"
golden-126,698206,"@286560 Hey Tweety, let's check that out. DM us, we want to make sure your billing is always correct. *JoanO"
golden-127,704095,@288233 Thanks for your patience Lynnette! Let's make sure you can share pictures of your food and family today! Send us a DM and we'll check it out! https://t.co/vv9JsrbUOZ *AbigailRoach
golden-128,717299,@291729 We're here to help! Shoot us a DM and we'll get things taken care of! https://t.co/lOqKyE0PXQ *ReillyLeritz
golden-129,717675,"@291845 @115913 We'll get to the bottom of this together, message me by clicking my picture https://t.co/Nr93OTtXRx *TaylorBest"
golden-130,721890,@208672 @115913 Of course! Thank you for reaching out! https://t.co/lH0SH5fy2m *MikeRice
golden-131,739946,@296956 We have a lot of Hotspot plans! 🤝 DM me at ➡ https://t.co/m0OQWGlE4J 📲 Let's talk more about it! 😎 *SamoAljasim
golden-132,744428,@297995 @115913 JOD pricing isn't available just yet. Stay tuned and we'll hear more as it gets closer to launch! *RachaelTansey
golden-133,746166,@298376 Thanks for tweeting us again today! DM me and let's troubleshoot some more! https://t.co/86MicZnF9C *WarrenCamp
golden-134,746402,@218558 We'd be happy to break your bill down in detail with you. DM us and we'll go over it together. *KananiB
golden-135,747949,"@298793 Yikes! I never want you feeling this way, Haydee. What happened? DM us here with more info to assist you. *ValerieP"
golden-136,753103,@299994 We can't have that! Phone is bae and I know better than anyone! DM us so we can check out your options! *WhitneyJ
golden-137,768701,"@303578 We've got you covered, send us a DM and we'll make it happen! *Bert Louis"
golden-138,779038,"@306043 Oh no! I'm here to help, Ken! Send me a DM &amp; let me make this happen for you! *AlexKimbrell https://t.co/GefRnVHVqu"
golden-139,779090,"@306061 Got it! Working on my response now, and it'll be on it way in a moment! *LizRackliff"
golden-140,779092,@306061 We definitely want to make sure your account is set up the way that you need it! DM me to get started. https://t.co/GfMqTm3Joc *LizRackliff
golden-141,797713,@310193 @115913 We'd love to have you on #TeamMagenta. DM me and we'll check out your location https://t.co/Nr93OTtXRx *TaylorBest
golden-142,797739,"@326273 @115913 Too much to define within a character limit, check it out here: https://t.co/cCRIl0Fcnu *TaylorBest"
golden-143,803270,@184741 Thanks for the DM! I'll meet you back there. :) *KurtMartin
golden-144,810995,"@313242 That's not an option, Kyle, but we can see what your options are! DM us and we'll get started! *WhitneyJ"
golden-145,812632,"@205430 If you do change your mind, just shoot me a DM :) *FeliciaPorter"
golden-146,813051,@313739 @115913 With it not being sold by T-Mobile there would not be a way to JUMP to it. *DanKing
golden-147,817442,"@314703 We'd love to check out your options, Karez. Please click this link to send us a Direct Message: https://t.co/cuEwtd2epS *DanKing"
golden-148,824240,@143700 Beautiful.   Please reach out to us if you need any additional assistance. We are here for you 24 hours a day! *LisaMarieArnold
golden-149,826769,"@316937 Stick with us, Kathy! What's got you contemplating other carriers? *ChanneyT"
golden-150,852714,@197867 We have some great new phones to get you all the best #MagentaCoverage everywhere! Meet me back in DM so we can chat! *DonaldConstable
golden-151,856876,@323479 I sent a DM your way. I'll meet you there. *HollyAdams
golden-152,860971,@324443 Ouchhhhh! Where's the love? Are you a T-Mobile customer? Send us a DM so we can get this turned around. *ElleA
golden-153,861746,@563533 @115913 We're all about making sure you're on the right plan for you. DM us and we'll chat options: https://t.co/cuEwtd2epS *DanKing
golden-154,870615,@326718 T-Mobile US is here for to help with any US account concerns or to help get you in the right direction for assistance! *Ashley Lingley
golden-155,875271,"@327813 Whoa, Denzel! Please send us a DM and allow us to further assist you and tackle this! We are here to help! *BrookeK"
golden-156,875546,"@327883 Thank you for your service! Lots of crazy things going on in our world, takes a lot to be that hero! Thanks for k... https://t.co/qj9Ujuvx6w"
golden-157,876743,@328152 You can rely on me to take a look for you! Click on my profile to DM me: https://t.co/TVma9yY2zi *TJEllwood
golden-158,878152,@328461 Oh no! Please shoot us DM if you need us ! *TaylorMichaels
golden-159,880346,@245341 @115913 We're happy to help make sure you use JoD. DM us so we can help! https://t.co/5bqVYFp5Vy *JamieEnglish
golden-160,880467,"@329048 @115913 We'll be with you via DM mometarily, thanks! :) https://t.co/62aD1VBovp *TJJones"
golden-161,883611,@329825 We can help you here with getting the device ordered. *JasmineS
golden-162,889933,"@204245 We'd love to address any issue you have, Mark. Please DM when you are ready for us to do so. https://t.co/Qz0L1xpZB7 *MikePerez"
golden-163,892482,"@205160 I'd love to provide you a comprehensive answer! Unfortunately, this character limit is holding back the true potential of my help! *PhungDao"
golden-164,894087,"@332172 Hey! DM is  a direct message! If you go to our profile, click the envelope to type a message or click: https://t.co/rIZzKwKb2m *KurtMartin"
golden-165,899031,@161322 @115913 No news yet! #StayTuned *HollyAdams
golden-166,899749,"@333614 @115913 We want the best signal experience possible for you, Moritz. Please DM us. https://t.co/lH0SH5fy2m *MikeRice"
golden-167,899820,"@173071 @115913 We want to get you reconnected, Stepen. Please DM us. https://t.co/lH0SH5fy2m *MikeRice"
golden-168,906786,"@335308 Ah man, those speeds are not what we love to see! Send us a DM and we'll get them up to speed! *ChanneyT"
golden-169,925226,"@339557 @115913 Let's dive in and check out that area, Mary. Please send a DM our way. https://t.co/lH0SH5fy2m *MikeRice"
golden-170,929490,"@340532 @115913 Awesome! I sent you a DM, so please reply to me at your earliest convenience. *AshleyNelson"
golden-171,934174,"@290883 @115913 Congratulations, Cindy! Please send a DM my way and I'll get your details! https://t.co/lH0SH5fy2m *MikeRice"
golden-172,934805,"@341744 Yikes, Noris! We definitely want to get this turned around! Shoot me a DM, so we can chat! https://t.co/s9b5I4qxPp *JamiePitcher"
golden-173,943022,"@343562 Yikes! We certainly don't want to lose you, Nazim! Send us a DM so we can dive into things! https://t.co/Qz0L1xpZB7 *MikePerez"
golden-174,948112,"@344847 Hey, Stefania! I love to chat with you about your data! Send me a DM to get started! https://t.co/diKAFssR7H *SophyaBates"
golden-175,948615,"@178255 We are always here to help! If you need anything, just send us a DM! *SonjaKett"
golden-176,948658,"@511971 What's the matter, Frankie? Need assistance getting this new device? DM us so we can check out your options! *WhitneyJ"
golden-177,953708,@655850 That is an excellent question! Can you please DM me via this link https://t.co/A2kWVVGFXO so we can talk? *JonathanMacInnes
golden-178,953760,"@346286 We want to make sure you understand how this promotion works, if you need us to clarify at all. Send us a DM and we can assist. *ChanneyT"
golden-179,953911,@346345 We'll get you back up and running asap! Send us a DM: https://t.co/xKrpoFD6ya We got your back! *ColleenLicudine
golden-180,960851,@274310 I see your DM my friend and I am replying to you now. Your #MagentaHero is on the way! *KyleVesely
golden-181,961275,"@348122 Thanks, Corey! I've responded and will meet you back there. I appreciate you! https://t.co/ZxXpYRedaq *NicholasTomchik"
golden-182,964558,@348934 @115913 The iPhone X is fully compatible with the T-Mobile LTE network but does not support the new 600MHz spectrum. *MikeRice
golden-183,969999,"@302538 I certainly am my friend, shoot me a DM and I'll help out! 😄 👌 https://t.co/soWScqBSGm *JohnAnderson"
golden-184,974587,@351120 Shoot us a DM and we can get one ordered for you!! *KittyG
golden-185,975901,"@351442 Hey! My name is Rose, definitely not a ""bot"". :) DM me if you have any questions! Always glad to help! :) https://t.co/LNUbmWfmEy *RoseAdams"
golden-186,978708,"@352116 @115913 We're here for you, Steve. Please DM us what's going on and where. We want the best for you: https://t.co/cuEwtd2epS *DanKing"
golden-187,984044,@177690 Send us a DM and we can go over details! https://t.co/WZM6cbcgHU *JonPorter
golden-188,994765,@355634 We need you to be in the know when it comes to your billing moments. Send us a DM and let us check this out. *JeremyJ
golden-189,995386,@355790 Making a payment with ease is crucial! I've got your back! DM me to get started :) https://t.co/jaHSC7DwkH *JacintaJenkins
golden-190,1001504,@357085 Hey Andrew! Thanks for alerting us! We want to have accurate info for ya - I'll bubble this up right away! *HillaryTurner
golden-191,1001512,@357089 Sounds like we need to get you set up with unlimited data! DM us so we can chat! *ElleA
golden-192,1013293,@157326 I see your DM and I will be right there :) *KirstenHartford
golden-193,1015384,@150487 Haha that is an amazing picture! &lt;3 *JohnKuhn
golden-194,1023246,@362148 Hey Ashanty! Remember me? 😊 Feel free to DM me ➡ https://t.co/m0OQWGlE4J #TForce got your back! 💪 *SamoAljasim
golden-195,1023366,@362179 Absolutely! I just responded to your DM so I will work with you there :) Thank you so much! *TylerRoquemore
golden-196,1026453,@362058 @115913 Hi! Our team is her for you and we'd love to meet you have in DM. Thank you! *AlissaFast
golden-197,1030243,@261158 Send us a DM and I'd be happy to discuss any concerns about your account! https://t.co/kc7O8gvmk3 *ClarrizzeHarkins
golden-198,1036023,"@365058 Send me a DM, and I'll get that taken care of! https://t.co/zXrDYDCnIa *Bridget Wren"
golden-199,1036027,"@364540 @115913 My team and I are on standby ready to help, DM me https://t.co/Nr93OTtXRx *TaylorBest"
golden-200,1036962,@365310 @115913 What if I told you T-Mobile has had monthly installment plans since 2013? Check out every reason why you should switch today right here https://t.co/cCRIl0Fcnu and send me a DM with any questions! https://t.co/PUCbqyZK4U *RachaelTansey
